BreweryName,BeerName,BeerType,ABV,NumReviews,AvgReview
Brasserie Dieu du Ciel!,Péché Mortel - Bourbon,American Imperial Stout,9.5,590,4.47
Brasserie Dieu du Ciel!,Péché Mortel,American Imperial Stout,9.5,5308,4.42
Unibroue,La Fin Du Monde,Belgian Tripel,9.0,10446,4.36
Four Winds Brewing Co.,Nectarous,American Wild Ale,5.5,119,4.46
Driftwood Brewery,Sartori Harvest IPA,American IPA,7.0,117,4.4
Les Trois Mousquetaires,Grande Cuvée Porter Baltique,Baltic Porter,10.0,487,4.29
Unibroue,Trois Pistoles,Belgian Strong Dark Ale,9.0,5119,4.26
Driftwood Brewery,Fat Tug IPA,American IPA,7.0,708,4.27
Unibroue,Unibroue 17 Grande Réserve,Belgian Strong Dark Ale,10.0,1170,4.26
Bellwoods Brewery,Bring Out Your Dead,Russian Imperial Stout,11.4,134,4.36
Brasserie Dieu du Ciel!,Moralité,New England IPA,6.9,367,4.28
Central City Brewers + Distillers,Red Racer IPA (India Pale Ale),American IPA,6.5,1133,4.25
Brasserie Dieu du Ciel!,Solstice D'été Aux Framboises,Berliner Weisse,5.9,408,4.27
Unibroue,Maudite,Belgian Dubbel,8.0,4774,4.22
Driftwood Brewery,Singularity,Russian Imperial Stout,10.6,172,4.29
Brasserie Dieu du Ciel!,Aphrodisiaque,American Stout,6.5,1700,4.21
Unibroue,Terrible,Belgian Quadrupel (Quad),10.5,2296,4.2
Microbrasserie Charlevoix,Dominus Vobiscum Lupulus,Belgian Strong Pale Ale,10.0,280,4.24
Les Trois Mousquetaires,Grande Cuvée Porter Baltique - Fûts De Bourbon Et Brandy,Baltic Porter,10.0,122,4.3
McAuslan Brewing,St-Ambroise Stout Impériale Russe,Russian Imperial Stout,9.2,314,4.23
Great Lakes Brewery,THRUST! an IPA,New England IPA,6.5,126,4.27
Unibroue,Don De Dieu,Belgian Tripel,9.0,2978,4.17
Bellwoods Brewery,Skeleton Key,American Imperial Stout,12.0,95,4.3
Driftwood Brewery,Naughty Hildegard ESB,English Extra Special / Strong Bitter (ESB),6.5,137,4.25
Driftwood Brewery,Raised By Wolves IPA,New England IPA,7.0,77,4.32
Microbrasserie Le Castor,Yakima IPA,American IPA,6.5,217,4.21
Flying Monkeys Craft Brewery,Flying Monkeys The Chocolate Manifesto,English Sweet / Milk Stout,10.0,457,4.18
Great Lakes Brewery,Great Lakes Karma Citra IPA,American IPA,6.6,140,4.23
Les Trois Mousquetaires,Doppelbock Grande Cuvée Printemps,German Doppelbock,8.6,213,4.2
Le Trou Du Diable,La Buteuse Brassin Spécial (Barrel Aged),Belgian Tripel,10.0,142,4.2
Microbrasserie Charlevoix,La Vache Folle Imperial Milk Stout,American Imperial Stout,9.0,273,4.16
Brasserie Dieu du Ciel!,Solstice D'hiver Réserve Spéciale En Fût De Bourbon,American Barleywine,10.8,123,4.21
Nickel Brook Brewing Co.,Café Del Bastardo,American Imperial Stout,14.5,69,4.28
Bellwoods Brewery,Hellwoods,Russian Imperial Stout,10.0,117,4.21
Four Winds Brewing Co.,Juxtapose Wild IPA,American IPA,6.5,128,4.2
Central City Brewers + Distillers,Red Racer Imperial IPA,American Imperial IPA,9.0,189,4.17
Brasseurs Du Nord Inc.,IPA Du Nord-Est,New England IPA,6.0,64,4.28
Brasserie Dieu du Ciel!,Herbe à Détourne,Belgian Tripel,10.2,273,4.14
Driftwood Brewery,Latus,Flanders Red Ale,7.5,53,4.3
Bellwoods Brewery,Jutsu,American Pale Ale (APA),5.6,117,4.19
Great Lakes Brewery,Great Lakes Octopus Wants To Fight IPA,American IPA,6.2,139,4.17
Half Pints Brewing Company,Le Temps Noir,Russian Imperial Stout,9.6,53,4.29
Collective Arts Brewing,Ransack the Universe,American IPA,6.8,600,4.11
McAuslan Brewing,St-Ambroise Oatmeal Stout,English Oatmeal Stout,5.0,1302,4.1
Bellwoods Brewery,Jelly King,American Wild Ale,5.6,133,4.17
Bellwoods Brewery,Witchshark,American Imperial IPA,9.0,198,4.14
Black Oak Brewing Co.,Black Oak Ten Bitter Years,American Imperial IPA,8.0,198,4.14
Collective Arts Brewing,Life in the Clouds,New England IPA,6.2,351,4.11
Great Lakes Brewery,Great Lakes Lake Effect,American IPA,7.0,142,4.15
Nickel Brook Brewing Co.,Old Kentucky Bastard,Russian Imperial Stout,14.5,191,4.13
Microbrasserie Charlevoix,Dominus Vobiscum Triple,Belgian Tripel,9.0,188,4.13
Driftwood Brewery,Old Cellar Dweller,American Barleywine,11.6,145,4.14
Bellwoods Brewery,Farmageddon - Niagara Montmorency Cherry,Belgian Saison,6.7,43,4.3
Superflux,Colour And Shape,New England IPA,6.8,35,4.35
Brasserie Dieu du Ciel!,Grande Noirceur,Russian Imperial Stout,9.0,447,4.09
Le Trou Du Diable,Dulcis Succubus,Belgian Saison,7.0,193,4.11
Unibroue,La Résolution,Belgian Strong Dark Ale,10.0,311,4.09
Central City Brewers + Distillers,Thor's Hammer Barley Wine,British Barleywine,11.5,154,4.12
Half Pints Brewing Company,Burly Wine,British Barleywine,10.5,77,4.18
Collective Arts Brewing,Jam Up The Mash,American Wild Ale,5.2,144,4.12
Half Pints Brewing Company,Humulus Ludicrous,American Imperial IPA,8.0,103,4.14
Bellwoods Brewery,Lambda,Belgian Quadrupel (Quad),11.0,65,4.19
Amsterdam Brewing Company,Amsterdam Barrel Aged Double Tempest,American Imperial Stout,11.9,45,4.25
Microbrasserie Charlevoix,Dominus Vobiscum Blanche,Belgian Witbier,5.0,160,4.1
Parallel 49 Brewing Company,Hopnotist,American Imperial IPA,8.5,61,4.19
Bellwoods Brewery,Roman Candle,American IPA,6.8,134,4.11
Garrison Brewing Company,Imperial IPA,American Imperial IPA,8.0,231,4.08
Microbrasserie Charlevoix,Dominus Vobiscum Hibernus,Belgian Strong Dark Ale,10.0,126,4.11
Brasserie Dieu du Ciel!,Immoralité,American Imperial IPA,9.2,72,4.16
Les Trois Mousquetaires,Série Signature IPA,American IPA,6.0,48,4.22
Left Field Brewery,Laser Show,New England IPA,8.0,61,4.18
Four Winds Brewing Co.,Vexillum,American Imperial IPA,9.0,42,4.24
Steamworks Brewing Company,Flagship India Pale Ale,American IPA,6.7,112,4.11
Paddock Wood Brewing Co.,Barrel Full Of Monkeys Imperial Stout,Russian Imperial Stout,10.0,41,4.24
Flying Monkeys Craft Brewery,Flying Monkeys Acadian Groove Canadian Maple Porter,American Imperial Porter,10.0,118,4.1
Alley Kat Brewing Company,Olde Deuteronomy,American Barleywine,10.2,114,4.1
Driftwood Brewery,Twenty Pounder,American Imperial IPA,9.0,98,4.11
Beyond the Pale Brewing Company,Aromatherapy IPA,American IPA,6.5,72,4.14
Unibroue,Eau Benite,Belgian Tripel,7.7,477,4.04
Howe Sound Inn & Brewing Company,Pothole Filler Imperial Stout,Russian Imperial Stout,9.0,204,4.06
Yellow Dog Brewing,Play Dead IPA,American IPA,6.8,89,4.11
Crannóg Ales,Back Hand Of God Stout,Irish Dry Stout,5.2,66,4.14
Driftwood Brewery,Blackstone Porter,English Porter,6.0,115,4.08
Nickel Brook Brewing Co.,Immodest,American Imperial IPA,9.5,94,4.09
Brasserie Dieu du Ciel!,Dernière Volonté,Belgian IPA,7.0,623,4.02
Cameron's Brewing Co.,RPA (Rye Pale Ale),Rye Beer,6.6,144,4.06
Collective Arts Brewing,"Surround Sound (Simcoe, Galaxy & Citra)",New England IPA,8.2,82,4.1
Bellwoods Brewery,Monogamy - Nelson Sauvin,American Pale Ale (APA),6.4,29,4.27
Brasserie Dieu du Ciel!,Dernière Volonté Réserve Spéciale En Fût De Pinot Noir,Belgian Strong Pale Ale,7.5,101,4.08
Collective Arts Brewing,Collective Project: IPA No. 11,New England IPA,5.8,36,4.21
Four Winds Brewing Co.,Sovereign Super Saison,Belgian Saison,8.5,36,4.21
Le Trou Du Diable,La Buteuse,Belgian Tripel,10.0,185,4.04
Alley Kat Brewing Company,Full Moon Pale Ale,American Pale Ale (APA),5.0,117,4.06
Collective Arts Brewing,Radio The Mothership,American Imperial IPA,8.5,139,4.05
Four Winds Brewing Co.,Phaedra,Belgian IPA,7.2,51,4.14
Four Winds Brewing Co.,Four Winds IPA,American IPA,7.0,96,4.07
Lighthouse Brewing Company,Shipwreck IPA,American IPA,6.5,130,4.05
Les Trois Mousquetaires,Hors Série Ceci N'est Pas Une Gueuze,American Wild Ale,5.5,39,4.18
Collective Arts Brewing,Stranger Than Fiction,English Porter,5.5,276,4.02
Vox Populi,Double Fruit Punch IPA,American Imperial IPA,8.0,49,4.14
