BreweryName,BeerName,BeerType,ABV,NumReviews,AvgReview
Kiuchi Brewery,Hitachino Nest White Ale,Belgian Witbier,5.5,1651,4.09
Hideji Beer,Kuri Kuro (Dark Chestnut Ale),American Imperial Stout,9.0,46,4.15
Kiuchi Brewery,Hitachino Nest Espresso Stout,American Imperial Stout,7.0,1027,3.97
Fujikankokaihatsu Co. Ltd. / Sylvans Restaurant,Fujizakura Kogen Hefeweizen,German Hefeweizen,5.5,11,4.32
A.J.I. Beer Inc,Minoh Imperial Stout,American Imperial Stout,8.5,12,4.2
Kiuchi Brewery,Hitachino Nest Anbai Ale,Leipzig Gose,7.0,187,3.9
Baird Brewing Company / Fishmarket Taproom,Suruga Bay Imperial IPA,American Imperial IPA,7.5,159,3.9
Kiuchi Brewery,Hitachino Nest Nipponia,American Imperial Pilsner,6.5,145,3.89
Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,Ise Kadoya Imperial Smoked Porter,American Imperial Porter,7.0,11,4.16
"Ishikawa Brewery Co., Ltd",Bottle-Conditioned Ale,Belgian Pale Ale,5.5,18,4.04
A.J.I. Beer Inc,Minoh Stout,English Stout,5.5,30,3.96
Baird Brewing Company / Fishmarket Taproom,Natsumikan Ale,Fruit and Field Beer,6.0,35,3.94
Ginga Kogen Beer,Ginga Kogen Wheat Beer,German Hefeweizen,5.0,50,3.91
Baird Brewing Company / Fishmarket Taproom,The Carpenters Mikan Ale,Fruit and Field Beer,7.0,40,3.92
Tamamura Honten,AfPA (Africa Pale Ale),American Pale Ale (APA),5.0,13,4.06
Kiuchi Brewery,Hitachino Nest Ancient Nipponia,American Imperial Pilsner,8.0,54,3.9
Baird Brewing Company / Fishmarket Taproom,Morning Coffee Stout,American Stout,6.5,14,4.03
"Sekinoichi-shuzou, Iwate-kura Brewery",Iwatekura Oyster Stout,Russian Imperial Stout,8.0,28,3.92
Kiuchi Brewery,Hitachino Nest Saison Du Japon,Belgian Saison,5.0,94,3.86
"Ryujin Shuzo Co,. Ltd.",Ozeno Yukidoke IPA,American IPA,5.5,62,3.87
Ginga Kogen Beer,Ginga Kogen White Beer,Belgian Witbier,5.0,16,3.97
A.J.I. Beer Inc,Minoh W-IPA,American Imperial IPA,9.0,40,3.88
Kiuchi Brewery,Hitachino Nest Yuzu Lager,American Lager,5.5,33,3.89
Yo-Ho Brewing Company,Konomi Nante Kiitenaize SORRY Yuzu Session Ale,Fruit and Field Beer,4.0,16,3.94
Kiuchi Brewery,Hitachino Nest Amber Ale,American Amber / Red Ale,5.0,48,3.86
Baird Brewing Company / Fishmarket Taproom,West Coast Wheat Wine,American Wheatwine Ale,10.5,27,3.88
Kiuchi Brewery,Hitachino Nest Extra High (XH),Belgian Strong Dark Ale,8.0,757,3.82
Yo-Ho Brewing Company,Boku Biiru Kimi Biiru ( For You & Me),Belgian Saison,5.0,25,3.88
Ezo Beer KK,Red Fox (Rogue's American Amber),American Amber / Red Ale,5.1,27,3.87
Baird Brewing Company / Fishmarket Taproom,Red Rose Amber Ale,American Amber / Red Ale,5.4,91,3.83
Baird Brewing Company / Fishmarket Taproom,Kurofune Porter,Baltic Porter,6.0,165,3.82
Hyouko Yashiki No Mori Brewery,Samurai Barley Ale,American Barleywine,10.0,46,3.84
Kiuchi Brewery,Hitachino Nest Japanese Classic Ale,English India Pale Ale (IPA),7.0,474,3.81
Nippon Beer Co. Ltd.,Kagua Rouge,Belgian Strong Dark Ale,9.0,27,3.85
Yo-Ho Brewing Company,Yona Yona Ale,American Pale Ale (APA),5.5,178,3.81
Baird Brewing Company / Fishmarket Taproom,Baird Angry Boy Brown Ale,English Brown Ale,6.2,159,3.81
OH! LA! HO Beer Club,Captain Crow Extra Pale Ale,American Pale Ale (APA),5.0,16,3.87
Sankt Gallen Brewery,Sanktgallen Imperial Chocolate Stout,Russian Imperial Stout,8.5,12,3.87
Baird Brewing Company / Fishmarket Taproom,Dark Sky Imperial Stout,Russian Imperial Stout,9.5,140,3.8
"Kizakura Sake Brewing Co., Ltd.",Kyoto White Yuzu,Belgian Witbier,5.0,17,3.84
Baird Brewing Company / Fishmarket Taproom,Ganko Oyaji Barley Wine 2012,American Barleywine,10.5,13,3.84
Fujikankokaihatsu Co. Ltd. / Sylvans Restaurant,Fujizakura Rauchbier,German Rauchbier,5.5,15,3.83
Baird Brewing Company / Fishmarket Taproom,Single Take Session Ale,Belgian Pale Ale,4.5,25,3.81
Sankt Gallen Brewery,Yokohama XPA Extra Pale Ale,American IPA,6.0,11,3.82
Baird Brewing Company / Fishmarket Taproom,Shizuoka Summer Mikan Ale,American Pale Ale (APA),5.5,12,3.8
