BreweryName,BeerName,BeerType,ABV,NumReviews,AvgReview
Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Imperial Stout,12.0,793,4.9
3 Floyds Brewing Co.,Marshmallow Handjee,Russian Imperial Stout,15.0,1702,4.81
Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Imperial Stout,11.0,1615,4.79
Perennial Artisan Ales,Barrel-Aged Abraxas,American Imperial Stout,11.0,1536,4.79
The Alchemist,Heady Topper,New England IPA,8.0,14634,4.76
Tree House Brewing Company,King Julius,New England IPA,8.3,1118,4.77
Russian River Brewing Company,Pliny The Younger,American Imperial IPA,10.25,3265,4.75
Toppling Goliath Brewing Company,Mornin' Delight,American Imperial Stout,12.8,1575,4.76
Tree House Brewing Company,Very Hazy,New England IPA,8.6,970,4.76
Tree House Brewing Company,King JJJuliusss,New England IPA,8.4,533,4.78
Toppling Goliath Brewing Company,SR-71,American Imperial Stout,14.0,516,4.76
Bottle Logic Brewing,Fundamental Observation,American Imperial Stout,14.3,1383,4.72
Founders Brewing Company,CBS (Canadian Breakfast Stout),American Imperial Stout,11.3,6316,4.7
Russian River Brewing Company,Pliny The Elder,American Imperial IPA,8.0,15234,4.69
Tree House Brewing Company,Juice Machine,New England IPA,8.2,976,4.71
Toppling Goliath Brewing Company,Assassin,American Imperial Stout,12.0,1386,4.7
Tree House Brewing Company,Very Green,New England IPA,8.6,1328,4.7
Tree House Brewing Company,Julius,New England IPA,6.8,4749,4.68
Lawson's Finest Liquids,Double Sunshine,American Imperial IPA,8.0,2511,4.68
Hill Farmstead Brewery,Abner,New England IPA,8.2,2788,4.67
Goose Island Beer Co.,Bourbon County Brand Stout,American Imperial Stout,14.7,12987,4.66
Maine Beer Company,Dinner,American Imperial IPA,8.2,2544,4.66
Angry Chair Brewing,Barrel Aged Imperial German Chocolate Cupcake Stout,American Imperial Stout,11.0,278,4.75
Founders Brewing Company,KBS (Kentucky Breakfast Stout),American Imperial Stout,12.3,13744,4.65
Firestone Walker Brewing Co.,Parabola,Russian Imperial Stout,13.0,6992,4.65
The Lost Abbey,Duck Duck Gooze,Belgian Gueuze,7.0,1919,4.66
AleSmith Brewing Company,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,American Imperial Stout,12.0,939,4.67
Tree House Brewing Company,JJJuliusss,New England IPA,6.8,703,4.68
Funky Buddha Brewery,Morning Wood,American Imperial Porter,12.0,1186,4.66
3 Floyds Brewing Co.,Zombie Dust,American Pale Ale (APA),6.2,10755,4.63
Goose Island Beer Co.,Bourbon County Brand Vanilla Stout,American Imperial Stout,14.9,1886,4.64
Tree House Brewing Company,Doubleganger,New England IPA,8.2,1016,4.65
Side Project Brewing,Fuzzy,American Wild Ale,8.0,946,4.65
Sante Adairius Rustic Ales,Westly,American Wild Ale,8.5,378,4.69
Hill Farmstead Brewery,Double Citra®,New England IPA,8.0,2019,4.63
Hill Farmstead Brewery,Ann,Belgian Saison,6.5,413,4.68
Cigar City Brewing,Hunahpu's Imperial Stout,American Imperial Stout,11.0,4375,4.62
Toppling Goliath Brewing Company,King Sue,New England IPA,7.8,2826,4.62
Jester King Brewery,Atrial Rubicite,American Wild Ale,5.8,1930,4.62
Trillium Brewing Company,Headroom,New England IPA,8.0,732,4.64
Hill Farmstead Brewery,Double Galaxy,New England IPA,8.0,1601,4.62
Russian River Brewing Company,Supplication,American Wild Ale,7.75,6607,4.6
The Lost Abbey,Cable Car,American Wild Ale,7.0,1090,4.62
Kern River Brewing Company,Citra,American Imperial IPA,8.0,1821,4.61
Tree House Brewing Company,Very GGGreennn,New England IPA,8.3,142,4.78
